SubPartidas Arancelarias,Descripción del producto
711290,"demas desperdicios y residuos, de metales preciosos o de chapados de m"
711291,"Desperdicios y desechos, de oro o de chapado plaqué de oro, así como los demás desperdicio"
711292,"Desperdicios y desechos, de platino o de chapado plaqué de platino, así como los demás des"
711299,"Desperdicios y desechos, de plata o de chapado plaqué de plata, así como los demás desperd"
711311,joyas de plata incluso revestidos o chapados de otros metales precioso
711319,"joyeria de otros metales preciosos, incluso revestidos o chapados de m"
711320,"articulos de joyeria y sus partes, de chapados de metales preciosos so"
711411,"articulos de orfebreria y sus partes, de plata, incluso revestidos cha"
711419,"articulos de orfebreria y sus partes, de otros metales preciosos, incl"
711420,"articulos de orfebreria y sus partes, de chapados metal precioso sobre"
711510,"catalizadores en forma de tela o enrejados, de platino."
711590,las demas manufacturas de metales preciosos o de chapados metales prec
711610,manufacturas de perlas finas o cultivadas.
711620,"manufacturas de piedras preciosas, semipreciosas, sintéticas o reconst"
711711,"gemelos y similares, de metales comunes, incluso plateados, dorado o p"
711719,insignias de bronce
711790,la demas bisuteria
711810,"monedas sin curso legal, excepto las de oro."
711890,las demas monedas
720110,"fundicion en bruto sin alear, contenido fosforo, en peso inefior o igu"
720120,"fundicion en bruto sin alear, contenido fosforo, en peso superior a 0"
720150,fundicion en bruto aleada; fundicion especular.
720211,"ferro manganeso con un contenido de carbono, en peso superior a 2%"
720219,los demas ferromanganesos
720221,"ferrosilicio, con un contenido de silicio, en peso, superior a 55%"
720229,los demas ferrosilicio.
720230,ferro-silico-manganeso.
720241,"ferrocromo con mas de 4%, en peso, de carbono."
720249,los demas ferrocromo
720250,ferro-silico-cromo.
720260,ferroniquel
720270,ferromolibdeno
720280,ferrovolframio y ferro-silico-volframio
720291,ferrotitanio y ferro-silico-titanio.
720292,ferrovanadio.
720293,ferroniobio.
720299,las demas ferroaleaciones.
720310,productos ferreos obtenidos por reduccion directa de minerales de hier
720390,"demas productos ferreos esponjosos, en trozos, pellets o formas simila"
720410,"hierro, desperdicios y desechos de fundicion"
720421,desperdicios y desechos de fundicion de acero inoxidable
720429,"los demas desperdicios y desechos, de aceros aleados, excepto acero in"
720430,"desperdicios y desechos, de hierro o de acero estanados."
720441,"torneaduras, virutas, limaduras y recortes, de estampado o de corte de"
720449,los demas desperdicios y desechos de hierro o de acero.
720450,"lingotes de chatarra, de hierro o de acero."
720510,"granallas, de fundicion, de hierro o de acero."
720521,polvo de aceros aleados.
720529,"los demas polvos, de fundicion, de hierro o de acero."
720610,lingotes de hierro y aceros sin alear.
720690,"las demas formas primarias de hierro o de acero sin alear, excepto lin"
720711,"semiproductos de hierro o de acero sin alear, de seccion transversal c"
720712,"los demas semiproducto hierro o acero, de seccion transversal rectangu"
720719,los demas semiproductos de hierro o acero sin alear.
720720,"hierro o acero, con un contenido de carbono, enpeso, superior o igual"
720810,"enrollados, simplemente laminados en caliente con motivos en relieve"
720825,los demas enrollados laminados en caliente de espesor superior o igual
720826,los demas enrollados laminados en caliente de espesor superior o igual
720827,los demas enrollados laminados en caliente de espesor inferior a 3mm
720836,"los demas enrollados, simplemente laminados en caliente espesor sup.10"
720837,los demas enrollados simplemente laminados en caliente espesor sup. o
720838,los demas enrollados simplemente laminados en caliente espesor sup. o
720839,los demas enrollados simplemente laminados en caliente espesor inf.3mm
720840,prod. laminados planos en caliente de hierro o acero sin enrollar
720851,"los demas prod. laminados sin enrollar, laminados en caliente espesor"
720852,los demas prod. laminados caliente sin enrollar espesor sup o igual 4.
720853,los demas prod. laminados caliente s/enrollar espesor sup. o igual 10
720854,los demas prod. lamin. caliente s/enrollar espesor inferior a 3 mm
720890,los demas productos laminados planos de hierro o acero sin alear
720915,"productos laminados planos en frio, de espesor sup. o igual 3mm hierro"
720916,"prod. laminados planos en frio, de espesor sup a 1mm pero inferior 3mm"
720917,"prod. laminados planos en frio, espesor superior o igual 0,5mm, inf.1m"
720918,"prod. laminados planos en frio, espesor inferior a 0.5 mm hierro o ace"
720925,"prod. laminados planos en frio, sin enrollar espesor sup.o igual 3mm"
720926,"prod. laminados planos en frio, sin enrollar espesor sup.a 1mm inf. 3m"
720927,"prod. laminados planos en frio, sin enrollar espesor sup. o igual 0,5m"
720928,"prod. laminados planos en frio, sin enrollar espesor inferior a 0.5 mm"
720990,"los demas prod. laminado frio, hierro o acero, sin chapar, ancho 600 m"
721011,"productos laminados de hierro o acero estanados,de espesor superior o"
721012,"productos laminados planos de hierro o acero, estañados, de espesor in"
721020,"emplomados, incluidos los revestidos con una aleacion de plomo y estañ"
721030,cincados electroliticamente.
721041,"emplomados galvanizaods de otro modo, ondulados"
721049,los demas productos de hierro o acero galvanizado de otro modo
721050,"prod. laminados hierro, ancho 600 mm., revestidos de oxidos de cromo."
721061,revestidos de aleaciones de aluminio y cinc.
721069,los demas revestidos de aluminio.
721070,"productos laminados planos de hierro o acero, sin alear, de anchura su"
721090,"los demas prod. laminados hierro, ancho 600 mm., chapados o revestidos"
721113,prod. laminados en las cuatro caras anchura superior 150mm y espesor
721114,"los demas prod. laminados de espesor superior o igual a 4,75 mm"
721119,los demas productos laminados planos de hierro o de acero sinalear de
721123,prod. laminados simplemente en frio con un contenido carbono inf.0.25%
721129,los demas productos laminados simplemente en caliente
721190,"los demas prod. laminados planos, de hierro, ancho inf. 600mm., sin ch"
721210,productos laminados planos estanados de hierro o acero.
721220,cincados electroliticamente
721230,"los demas productos laminados de hierro o acero, galvanizados de otro"
721240,"productos laminados de hierro o acero, sin alear de anchura inferior a"
721250,"productos laminados de hierro o acero, revestidos de otro modo."
721260,productos laminados de hierro o acero chapados
721310,"alambron de hierro o acero sin alear, con muesca, cordones, huecos pro"
721320,"alambron de aceros de facil vulcanizacion, sin alear."
721391,los demas alambron de seccion circular con diametro inferior a 14 mm
721399,los demas alambron de hierro o acero sin alear.
721410,"barras hierro o acero sin alear, simplemente forjadas, en caliente."
721420,"barras hierro con muescas, cordones, huecos o relieve obtenidos durant"
721430,barra de acero de facil mecanizacion.
721491,las demas barras de hierro o acero sin alear de seccion transversal re
721499,"las demas barras de hierro o acero sin alear, simplemente forjadas"
721510,las demas barras de acero de facil mecanizacion simplemente obtenidas
721550,las demas barras de hierro/acero simplemente obtenidas o acabadadas fr
721590,las demas barras de hierro o de acero sin alear.
721610,"perfiles hierro en u, y o en h, laminados caliente, altura inferior a"
721621,"perfiles en l, de hierro, laminados en caliente, altura inferior a 80m"
721622,"perfiles en t, de hierro, laminados en caliente, altura inferior a 80m"
721631,"perfiles en u, laminados caliente, altura superior o igual a 80 mm."
721632,"perfiles en i, laminados en caliente, altura superior o igual a 80 mm."
721633,"perfiles en h, laminados en caliente, altura superior o igual a 80 mm."
721640,"perfiles en l o en t., laminados en caliente, altura superior o igual"
721650,"los demas perfiles, laminados o extrudidos en caliente."
721661,perfiles simplemente acabados en frio obte. de prod. laminado planos
721669,los demas perfiles simplememnte obtenidos o acabados en frio
721691,"los demas perfiles obtenidos o acabados en frio, a partir de prod. lam"
721699,los demas perfiles de hierro o acero sin alear.
721710,"alambre de hierro o acero sin alear sin revestir, incluso pulido"
721720,cincado
721730,alambres de hierro o acero revestidos de otro metal comun
721790,los demas alambres de hierro o acero sin alear.
721810,acero inoxidable en lingotes u otras formas primarias.
721891,los demas aceros inoxidables en lingotes de seccion transversal rectan
721899,los demas aceros inoxidables en lingotes o demas formas primarias
721911,"productos laminados caliente, acero inoxidable, enrollados, espesor su"
721912,"productos laminados caliente acero inoxidable, enrollados, espesor sup"
721913,"productos laminados caliente acero inoxidable, enrollado, espesor supe"
721914,"productos laminados caliente acero inoxidable, enrollado, espesor infe"
721921,"productos laminados caliente acero inoxidable, sin enrollar, espesor s"
721922,"productos laminados caliente acero inoxidable, sin enrollar, espesor s"
721923,"productos laminados caliente acero inoxidable, sin enrollar, espesor s"
721924,"productos laminados caliente acero inoxidable, sin enrollar, espesor i"
721931,"productos laminados en frio, acero inoxidable, espesor superior o igua"
721932,"productos laminados en frio, acero inoxidable, espesor superior o igua"
721933,"productos laminados en frio, acero inoxidable, espesor sup. a 1mm. per"
721934,"productos laminados en frio, acero inoxidable, espesor superior o igua"
721935,"productos laminados en frio, acero inoxidable, espesor inferior a 0,5"
721990,"los demas productos laminados planos, acero inoxidable, de anchura sup"
722011,"productos laminados caliente, acero inoxidable, espesor superior o igu"
722012,"productos laminados caliente, acero inoxidable, espesor inferior a 4,7"
722020,"productos laminados en frio, acero inoxidable, ancho inferior a 600 mm"
722090,"los demas productos laminados planos, de acero inoxidable, ancho infer"
722100,alambron de acero inoxidable.
722211,barras simplemente laminadas en caliente de seccion circular
722219,las demas barras simplemente laminadas o extruidas en caliente
722220,barras de acero inoxidable obtenidas o acabadas en frio.
722230,las demas barras de acero inoxidable.
722240,perfiles de acero inoxidable.
722300,alambre de acero inoxidable.
722410,"los demas aceros aleados, en lingotes u otras formas primarias."
722490,semiproductos de los demas aceros aleados.
722511,pro. laminados planos de acero al silicio de grano orientado
722519,los demas prod. laminados planos de acero silicio de grano orientado
722520,"productos laminados planos de acero rapido, anchura superior o igual 6"
722530,"los demas productos laminados en caliente, enrollados, de los aceros a"
722540,"productos simplemente laminados en caliente, sin enrollar, de los dema"
722550,"los demas productos laminado frio,planos,demas aceros aleados,ancho su"
722591,cincados electroliticamente laminados en frio
722592,cincados de otro modo laminados en frio
722599,los demas productos laminados planos de los demas aceros aleados
722611,prod. laminados planos de acero al silicio de grano orientado
722619,"los demas prod. laminados planos de acero al silicio, ancho inferior a"
722620,"productos laminados planos de acero rapido, ancho inferior 600 mm."
722691,"los demas productos laminados en caliente planos demas acero aleado,an"
722692,"los demas productos laminados plano en frio, demas aceros aleados,anch"
722693,cincados electroliticamente
722694,cincado de otro modo
722699,"los demas productos laminados plano demas aceros aleados,ancho inferio"
722710,alambron de acero rapido.
722720,alambron de acero silico-manganoso.
722790,los demas alambron de los demas aceros aleados.
722810,barras de acero rapido.
722820,barras de acero silico-manganoso.
